gRNA-sequence,Counts-K,Fraction-K,Counts-SK,Fraction-SK,Counts-TK,Fraction-TK,GrowthRate-SK,GrowthRateError,BindingEnergy-SK,GrowthRate-TK
f_131-f_135,10280.0,0.0033569056905429304,368.0,9.880154796251341e-05,3978.0,0.0027406886858749122,-0.16886889307947872,0.036662939390839144,0.0010005003335835344,0.15245645227150775
f_140-f_138,10036.0,0.00327722816247946,79.0,2.121011491586565e-05,8191.0,0.005643283314731374,-0.5124141005773014,0.04655732738857685,0.0010005003335835344,-0.0873081097285441
f_139-f_133,10029.0,0.003274942331756328,106.0,2.8459141532680493e-05,8854.0,0.006100064762377192,-0.44557263389440643,0.04371065624551017,0.0010005003335835344,-0.112538597482425
f_130-f_137,9979.0,0.0032586149694482395,320.0,8.591438953262036e-05,3156.0,0.0021743623661692364,-0.19382924424083064,0.03703558437941414,0.0010005003335835344,0.2172768098426738
f_138-f_137,9849.0,0.0032161638274472103,35252.0,0.009464543936887289,125.0,8.612018243699448e-05,0.8756446386064753,0.0362124087505351,2.0846119943141566,1.25039666354626
f_133-f_142,9775.0,0.00319199933123124,127.0,3.40972733457587e-05,7182.0,0.004948121202099955,-0.39875672883037,0.04207869550677258,0.0010005003335835344,-0.053539117377879315
f_131-f_122,9757.0,0.003186121480800328,182.0,4.886380904667783e-05,4648.0,0.0032022928637372027,-0.3167242489232037,0.03945637950220775,0.0010005003335835344,0.08567091283699446
f_137-f_131,9562.0,0.003122444767798784,195.0,5.2354081121440525e-05,7815.0,0.005384233805960895,-0.2964961943245599,0.03906598003924395,0.0010005003335835344,-0.08775491155665703
f_135-f_132,9433.0,0.0030803201730439165,178.0,4.778987917752007e-05,5656.0,0.003896766014909126,-0.31410500430494037,0.03958972939872638,0.0010005003335835344,0.011760153037204865
f_137-f_139,9396.0,0.0030682379249359314,269.0,7.222178370085898e-05,6451.0,0.004444490375208411,-0.2195531251779717,0.03759832745970463,0.0010005003335835344,-0.03175673093047544
r_152-f_137,9252.0,0.0030212151214886376,216.0,5.7992212934518735e-05,6366.0,0.004385928651151254,-0.2658219092845378,0.03856740875336538,0.0010005003335835344,-0.03245728061367718
r_148-r_147,9249.0,0.0030202354797501524,137.0,3.678209801865309e-05,6741.0,0.004644289198462238,-0.3690191002247802,0.04145656745625325,0.0010005003335835344,-0.05095057946350897
r_148-f_152,9239.0,0.0030169700072885347,100.0,2.684824672894386e-05,6984.0,0.004811706833119755,-0.4401792231712124,0.04425317198373344,0.0010005003335835344,-0.062675806696113
r_137-f_136,9100.0,0.0029715799400720495,244.0,6.550972201862302e-05,5849.0,0.004029735576591846,-0.23441745914313727,0.03801424230798989,0.0010005003335835344,-0.010566753667328718
r_153-r_150,9032.0,0.0029493747273330495,117.0,3.1412448672864314e-05,6840.0,0.004712496382952337,-0.39942786146236464,0.042792269490014384,0.0010005003335835344,-0.0632623812934836
r_153-f_138,8875.0,0.0028981068096856524,137.0,3.678209801865309e-05,7139.0,0.004918495859341628,-0.359656611990744,0.04145255576325247,0.0010005003335835344,-0.08264216014229475
f_139-r_150,8803.0,0.0028745954079620055,195.0,5.2354081121440525e-05,6838.0,0.004711118460033346,-0.2777371645626369,0.03905767013946275,0.0010005003335835344,-0.07141930706969828
r_136-r_151,8793.0,0.002871329935500388,95.0,2.5505834392496665e-05,7542.0,0.005196147327518498,-0.4405910360165784,0.04473770543818854,0.0010005003335835344,-0.10326741513863033
