gRNA-sequence,Counts-K,Fraction-K,Counts-SK,Fraction-SK,GrowthRate-SK,BindingEnergy-SK
31-60,39.0,0.00033491056170512415,111.0,0.00033491056170512415,1.0530484255686392,5.298317366548035
31-92,39.0,0.00033491056170512415,98.0,0.00033491056170512415,0.9863369607189334,4.293060954634194
27-70,38.0,0.00032632311140499276,135.0,0.00032632311140499276,1.171793985322919,5.298317366548035
25-83,38.0,0.00032632311140499276,77.0,0.00032632311140499276,0.8710905127943558,2.048644770460377
11-64,37.0,0.00031773566110486137,126.0,0.00031773566110486137,1.1491263875587183,5.298317366548035
25-86,37.0,0.00031773566110486137,74.0,0.00031773566110486137,0.8640895602501429,1.995759141424081
13-50,37.0,0.00031773566110486137,164.0,0.00031773566110486137,1.2902930955930174,5.298317366548035
33-68,37.0,0.00031773566110486137,74.0,0.00031773566110486137,0.8640895602501429,1.995759141424081
21-67,37.0,0.00031773566110486137,104.0,0.00031773566110486137,1.0463562332862029,5.298317366548035
25-72,37.0,0.00031773566110486137,110.0,0.00031773566110486137,1.0763958021361157,5.298317366548035
25-89,37.0,0.00031773566110486137,118.0,0.00031773566110486137,1.113994763008619,5.298317366548035
4-83,35.0,0.0003005607605045986,111.0,0.0003005607605045986,1.1110038603478658,5.298317366548035
33-60,35.0,0.0003005607605045986,71.0,0.0003005607605045986,0.8716863577398162,2.0532776820687455
21-60,35.0,0.0003005607605045986,122.0,0.0003005607605045986,1.1616098718881154,5.298317366548035
4-58,35.0,0.0003005607605045986,60.0,0.0003005607605045986,0.7815318139135466,1.5211148764824063
17-49,35.0,0.0003005607605045986,74.0,0.0003005607605045986,0.8938508411004271,2.2429100145611756
19-65,35.0,0.0003005607605045986,92.0,0.0003005607605045986,1.0104559716838757,5.298317366548035
21-74,35.0,0.0003005607605045986,130.0,0.0003005607605045986,1.195625444472505,5.298317366548035
29-76,35.0,0.0003005607605045986,100.0,0.0003005607605045986,1.0551122633566818,5.298317366548035
4-62,34.0,0.0002919733102044672,90.0,0.0002919733102044672,1.0142095503973054,5.298317366548035
27-84,34.0,0.0002919733102044672,80.0,0.0002919733102044672,0.9511290502569842,3.018572133818609
13-90,34.0,0.0002919733102044672,58.0,0.0002919733102044672,0.7789000383806212,1.5091403647081734
5-75,34.0,0.0002919733102044672,65.0,0.0002919733102044672,0.8399246233542688,1.8321104706471563
31-89,34.0,0.0002919733102044672,117.0,0.0002919733102044672,1.1547227315131283,5.298317366548035
35-62,34.0,0.0002919733102044672,44.0,0.0002919733102044672,0.6309483315321461,0.9968186217957944
19-60,34.0,0.0002919733102044672,81.0,0.0002919733102044672,0.9577821202016089,3.164911455767239
7-73,33.0,0.0002833858599043358,74.0,0.0002833858599043358,0.9253637678073051,2.595129203450649
17-90,33.0,0.0002833858599043358,68.0,0.0002833858599043358,0.880077769720701,2.120911827301205
35-65,33.0,0.0002833858599043358,81.0,0.0002833858599043358,0.9737703296721669,3.6408640536980434
15-60,33.0,0.0002833858599043358,47.0,0.0002833858599043358,0.6822613360664344,1.1465260456038473
23-60,33.0,0.0002833858599043358,57.0,0.0002833858599043358,0.7855738349354084,1.5397898186840526
19-68,32.0,0.00027479840960420443,86.0,0.00027479840960420443,1.022329923296002,5.298317366548035
17-98,32.0,0.00027479840960420443,89.0,0.00027479840960420443,1.040693959273904,5.298317366548035
23-80,32.0,0.00027479840960420443,72.0,0.00027479840960420443,0.927170060390464,2.6196281499502954
9-70,32.0,0.00027479840960420443,88.0,0.00027479840960420443,1.0346423102158788,5.298317366548035
23-64,32.0,0.00027479840960420443,62.0,0.00027479840960420443,0.8470860609148856,1.877880005486122
37-79,31.0,0.00026621095930407304,55.0,0.00026621095930407304,0.7999282015325975,1.609078984519419
23-78,31.0,0.00026621095930407304,76.0,0.00026621095930407304,0.9731300842364016,3.616747991320633
35-77,31.0,0.00026621095930407304,52.0,0.00026621095930407304,0.7698886326826844,1.469191881521248
7-76,31.0,0.00026621095930407304,44.0,0.00026621095930407304,0.6804202711965798,1.140748493874358
15-73,31.0,0.00026621095930407304,94.0,0.00026621095930407304,1.0869706046148662,5.298317366548035
39-80,31.0,0.00026621095930407304,67.0,0.00026621095930407304,0.9056270548925034,2.3605008453453986
17-71,31.0,0.00026621095930407304,59.0,0.00026621095930407304,0.8375271624051006,1.817244444446166
13-67,30.0,0.00025762350900394165,89.0,0.00025762350900394165,1.0752585480450039,5.298317366548035
41-80,30.0,0.00025762350900394165,111.0,0.00025762350900394165,1.1935616066844619,5.298317366548035
33-104,30.0,0.00025762350900394165,77.0,0.00025762350900394165,0.9976921262164571,5.298317366548035
25-102,30.0,0.00025762350900394165,30.0,0.00025762350900394165,0.49286402189558665,0.6789761099611417
11-87,30.0,0.00025762350900394165,71.0,0.00025762350900394165,0.9542441040764122,3.084434622917246
19-54,30.0,0.00025762350900394165,108.0,0.00025762350900394165,1.1788876684090024,5.298317366548035
33-73,29.0,0.00024903605870381026,61.0,0.00024903605870381026,0.8910985726394008,2.21731214205291
97-0,29.0,0.00024903605870381026,45.0,0.00024903605870381026,0.7281735339122709,1.3025914086143713
41-62,29.0,0.00024903605870381026,43.0,0.00024903605870381026,0.7038254664817912,1.2168063581633741
21-61,29.0,0.00024903605870381026,66.0,0.00024903605870381026,0.9332908726491065,2.707413493580068
17-97,29.0,0.00024903605870381026,99.0,0.00024903605870381026,1.1504438918965452,5.298317366548035
29-64,29.0,0.00024903605870381026,100.0,0.00024903605870381026,1.1558265024625238,5.298317366548035
29-63,29.0,0.00024903605870381026,104.0,0.00024903605870381026,1.1768317532423287,5.298317366548035
25-79,29.0,0.00024903605870381026,111.0,0.00024903605870381026,1.2117180994537073,5.298317366548035
17-89,29.0,0.00024903605870381026,100.0,0.00024903605870381026,1.1558265024625238,5.298317366548035
6-61,29.0,0.00024903605870381026,49.0,0.00024903605870381026,0.7737810962494455,1.4862521478346162
37-70,28.0,0.00024044860840367888,68.0,0.00024044860840367888,0.9680727733498407,3.4442961332103574
4-78,28.0,0.00024044860840367888,97.0,0.00024044860840367888,1.1583073008273925,5.298317366548035
29-80,28.0,0.00024044860840367888,50.0,0.00024044860840367888,0.8033946553381435,1.62655688617645
